Time,Sample,Value,Pulse_Detected,Rising_Edge
75000,1,60,0,0
85000,2,63,0,0
95000,3,54,0,0
105000,4,56,0,0
115000,5,63,0,0
125000,6,66,0,0
135000,7,62,0,0
145000,8,55,0,0
155000,9,61,0,0
165000,10,63,0,0
175000,11,64,0,0
185000,12,128,0,0
195000,13,384,1,0
205000,14,768,1,1
225000,15,192,1,0
235000,16,256,1,0
245000,17,320,1,0
255000,18,80,1,0
265000,19,65,1,0
275000,20,66,1,0
285000,21,64,1,0
295000,22,67,1,0
305000,23,60,1,0
315000,24,69,1,0
325000,25,96,1,0
335000,26,144,1,1
355000,27,75,1,1
365000,28,82,1,1
375000,29,89,1,1
395000,30,312,1,1
405000,31,336,1,0
415000,32,360,1,0
425000,33,384,1,0
435000,34,256,1,0
445000,35,128,1,0
455000,36,80,1,0
465000,37,64,1,0
475000,38,73,1,0
485000,39,74,1,0
495000,40,66,1,0
505000,41,65,1,0
515000,42,73,1,0
525000,43,72,1,0
535000,44,85,1,0
545000,45,112,1,0
555000,46,149,1,1
575000,47,91,1,1
585000,48,98,1,1
595000,49,105,1,1
615000,50,276,1,1
625000,51,296,1,1
635000,52,316,1,1
655000,53,716,1,1
665000,54,760,1,1
675000,55,804,1,1
695000,56,2688,1,0
705000,57,3840,1,0
715000,58,896,1,0
725000,59,512,1,0
735000,60,288,1,0
745000,61,128,1,0
755000,62,80,1,0
765000,63,73,1,0
775000,64,77,1,0
785000,65,68,1,0
795000,66,67,1,0
805000,67,70,1,0
815000,68,72,1,0
825000,69,76,1,0
835000,70,75,1,0
845000,71,67,1,0
855000,72,76,1,0
865000,73,74,1,0
875000,74,80,1,0
885000,75,128,1,0
895000,76,336,1,1
915000,77,92,1,1
925000,78,104,1,1
935000,79,116,1,1
955000,80,2752,1,1
965000,81,3968,1,0
975000,82,1088,1,0
985000,83,1280,1,0
995000,84,768,1,0
